timestamp, aqi, co, h, no2, o3, pm10, pm25, t
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 22:57:21, 44, 43, 68, 34, 31, 44, 40, 23.85
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 23:38:39, 44, 43, 68, 34, 31, 44, 40, 23.85
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-03 23:57:23, 44, 43, 77, 34, 31, 44, 40, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 00:38:41, 44, 43, 77, 34, 31, 44, 40, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 00:57:26, 44, 43, 77, 34, 31, 44, 40, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 01:38:44, 44, 43, 77, 34, 31, 44, 40, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 01:57:28, 44, 43, 77, 34, 31, 44, 40, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 02:38:46, 44, 43, 77, 34, 31, 44, 40, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 02:57:30, 44, 43, 77, 34, 31, 44, 40, 22
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 03:38:49, 44, 43, 65, 34, 31, 44, 40, 26.83
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 03:57:33, 44, 43, 65, 34, 31, 44, 40, 26.83
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 04:38:51, 44, 43, 65, 34, 31, 44, 40, 26.83
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 04:57:35, 44, 43, 65, 34, 31, 44, 40, 26.83
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 05:38:54, 44, 43, 65, 34, 31, 44, 40, 26.83
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 05:57:38, 50, 44, 59, 34, 24, 50, 44, 31.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 06:38:56, 48, 44, 59, 34, 24, 48, 43, 31.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 06:57:40, 48, 44, 59, 34, 24, 48, 43, 31.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 07:38:58, 48, 44, 59, 34, 24, 48, 43, 31.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 07:57:42, 48, 44, 59, 34, 24, 48, 43, 31.49
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 08:39:01, 49, 43, 43, 34, 24, 49, 43, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 08:57:45, 49, 43, 43, 34, 24, 49, 43, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 09:39:03, 49, 43, 43, 34, 24, 49, 43, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 09:57:47, 49, 43, 43, 34, 24, 49, 43, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 10:39:05, 51, 42, 43, 35, 24, 51, 47, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 10:57:50, 53, 42, 43, 35, 24, 53, 48, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 11:39:07, 53, 42, 43, 35, 24, 53, 48, 32.94
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 11:57:52, 54, 41, 46, 35, 24, 54, 49, 30.73
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 12:39:10, 54, 40, 46, 35, 24, 54, 49, 30.73
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 12:57:54, 54, 40, 46, 35, 24, 54, 49, 30.73
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 13:39:12, 54, 40, 46, 35, 24, 54, 49, 30.73
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 13:57:57, 54, 40, 46, 35, 24, 54, 49, 30.73
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 14:39:15, 54, 40, 44, 35, 24, 54, 49, 28.42
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
2017-10-04 14:58:00, 54, 40, 44, 35, 24, 54, 49, 28.42
timestamp, aqi, co, h, no2, o3, pm10, pm25, t
